voc_trt_perd_itg_cd,voc_prod_sbt_id,voc_wjt_sorc_id,voc_type_itg_cd,voc_sttus_itg_cd,voc_trt_reslt_itg_cd,cust_clas_itg_cd,bprod_sbt_id,age_itg_cd,cont_sttus_itg_cd,new_date,opn_nfl_chg_date,cust_dtl_ctg_itg_cd,voc_trt_degr_div_itg_cd,voc_dupl_tmscnt,oos_cause_type_itg_cd,voc_trt_need_time_itg_cd,engt_cperd_type_itg_cd,engt_tgt_div_itg_cd,cont_fns_pam_date,voc_mis_pbls_yn,fclt_oos_yn,cust_snsry_base_conf_need_time,trm_yn
_,1001061189,2126,10009,10002,_,I,1001060909,20,10001,20140203,20140203,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,3840,10009,10002,_,L,1001046523,39,10001,20180926,20180926,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027764,447,10009,10002,_,I,1000002847,49,10001,20160804,20160804,90029,20001,0,_,10001,15097,15244,20190803,N,_,0,N
_,1001044841,2106,10009,10002,10098,G,1001044103,55,10001,20160202,20160202,10003,20001,0,_,10001,15097,15277,20230409,N,_,0,N
_,1001054671,656,10009,10002,_,L,1001049500,24,10001,20200410,20200410,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000819129,362,10009,10002,_,F,1000675828,12,10001,20161228,20161228,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028710,372,10009,10002,_,G,1000852214,59,10001,20100630,20100630,10002,20001,0,_,10001,15098,15244,20181012,N,_,0,N
10000,1001027746,2049,10007,10002,_,G,1000737200,21,10007,10101,10101,10003,20002,0,_,10002,15097,15244,20230412,N,_,0,N
_,1001061191,589,10009,10002,_,O,1001060911,29,10001,20171009,20171009,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001061189,279,10009,10002,_,F,1001060909,31,10001,19990329,20130923,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000671910,3086,10009,10002,_,G,1000522564,63,10001,20090829,20190121,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000665328,329,10009,10002,_,F,1000001126,_,10001,20040115,20040115,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,1610,10009,10002,_,L,1001046523,44,10001,20181029,20181029,90027,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,2064,10009,10002,_,F,1000001126,82,10001,19800824,19800824,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665328,3697,10009,10002,10026,F,1000001126,84,10005,19850918,19850918,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,656,10009,10002,_,I,1000737200,58,10001,20030110,20030110,10002,20001,0,_,10001,15097,15244,20170604,N,_,0,N
10000,1000665870,128,10009,10002,_,I,1000001126,61,10001,19930819,19930819,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001054665,2110,10009,10002,_,I,1000748648,62,10001,20130705,20130705,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027746,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10001,1001028597,2303,10003,10002,_,J,1000851873,52,10001,20200402,20200402,10003,20001,0,10761,10010,15097,15244,20230401,N,N,0,N
10000,1001027746,273,10009,10002,_,G,1000702598,61,10001,20111020,20111020,10003,20001,0,_,10001,15097,15249,20181019,N,_,0,N
10000,1001072601,2126,10009,10002,_,G,1001072529,70,10001,20180509,20180509,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001044841,379,10009,10002,_,F,1001044103,44,10001,20200402,20200402,10003,20001,0,10270,10001,15097,15244,20230401,N,N,0,N
10000,1000665328,3321,10009,10002,10026,G,1000001126,29,10005,20150811,20150811,90029,20001,2,_,10001,_,_,99991231,N,_,0,N
_,1001044841,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001061190,3840,10009,10002,_,L,1001060910,22,10001,20170916,20170916,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000781558,1058,10003,10002,_,L,1000767883,43,10001,20170519,20170519,10003,20002,0,_,10007,_,_,99991231,N,_,0,N
10000,1001028573,289,10009,10002,_,J,1000851881,61,10001,20160701,20160701,10003,20001,0,_,10001,15097,15244,20190630,N,_,0,N
_,1001061189,2126,10009,10002,_,G,1001060909,38,10001,20200408,20200408,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027848,656,10009,10002,_,_,1000003237,_,10001,20200206,20200206,90024,20001,0,_,10001,15097,15244,20250205,N,_,0,N
10000,1000665329,2153,10009,10002,_,J,1000001135,39,10001,20141108,20141108,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000788367,3086,10009,10002,_,G,1000787935,7,10001,20190423,20190423,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047802,329,10009,10002,_,L,1001046524,21,10001,20200226,20200226,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028567,392,10009,10002,10003,I,1000851875,38,10001,20170918,20170918,10003,20001,0,_,10001,15097,15244,20200917,N,_,0,N
10000,1000666005,1560,10009,10002,_,L,1000001126,57,10001,20160328,20160328,90029,20001,0,10268,10001,_,_,99991231,N,N,0,N
10000,1000781558,3086,10009,10002,_,J,1000767883,32,10001,20180512,20180512,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047801,329,10009,10002,_,J,1001046523,48,10005,20190716,20190716,10019,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047801,1022,10003,10002,_,L,1001046523,40,10001,20140527,20140527,10019,20002,0,_,10007,_,_,99991231,N,_,1,N
10000,1000672028,670,10009,10002,_,J,1001046520,62,10001,20150711,20150711,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000792727,2177,10009,10003,_,L,1000737200,57,10001,20051229,20051229,90029,20002,0,_,10038,15098,15244,20120614,N,_,0,N
_,1000669300,2174,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,2153,10009,10002,_,L,1001046523,59,10001,20121122,20121122,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,1631,10009,10002,_,G,1000737200,60,10001,20031217,20031217,10002,20001,0,10268,10001,15098,15244,20110930,N,N,0,N
10000,1000670996,2153,10009,10002,_,F,1000461777,76,10001,20100327,20100327,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000781557,2153,10009,10002,_,I,1000767882,59,10001,20180201,20180201,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000665328,279,10009,10002,_,G,1000001126,79,10001,19720905,19720905,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000670159,2174,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000670955,128,10009,10002,_,L,1001038994,34,10001,20090908,20090908,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000781553,362,10009,10002,_,G,1000767879,49,10001,20180501,20180501,10003,20001,0,_,10007,_,_,99991231,N,_,0,N
10000,1001027746,1636,10003,10002,_,F,1000702598,_,10001,20191031,20191031,10019,20001,0,10246,10006,15097,15244,20221030,N,N,0,N
_,1000665328,2174,10009,10002,_,_,1000001126,_,10001,20040604,20040604,90056,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000671910,329,10009,10002,_,L,1000522564,50,10001,20180516,20180516,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001063199,2066,10009,10002,_,L,1001062915,22,10001,20160402,20160402,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000672028,661,10009,10002,_,L,1001046523,81,10001,20191211,20191211,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000763389,3086,10009,10002,_,G,1000748648,27,10001,20130204,20130204,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000667471,661,10009,10002,_,L,1000748647,59,10001,20091005,20091005,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665470,2053,10009,10002,_,L,1000851873,38,10005,20200410,20200410,90029,20002,0,_,10002,15097,15244,20230412,N,_,0,N
_,1001072596,193,10009,10002,_,I,1001072524,65,10001,20130624,20130624,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001035949,2153,10009,10002,_,I,1001034685,56,10001,20160804,20160804,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000811134,2126,10009,10002,_,F,1000675828,8,10001,20180402,20180402,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,360,10009,10005,_,O,1000737200,28,10001,20150803,20150803,10003,20001,0,_,10038,15097,15249,20220521,N,_,0,N
_,1000665328,3329,10009,10002,10026,J,1000001126,55,10005,20170407,20170407,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028567,128,10009,10002,_,F,1000851875,32,10007,10101,10101,10003,20001,0,_,10001,15097,15244,20230410,N,_,0,N
_,1001054928,360,10009,10002,_,G,1001049617,14,10001,20200206,20200206,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000792727,2178,10009,10003,_,L,1000003237,64,10001,20161223,20161223,10003,20002,0,_,10038,15097,15244,20191222,N,_,0,Y
10000,1000665328,2153,10009,10002,_,F,1000001126,87,10001,19871012,19871012,10003,20001,0,_,10001,_,_,99991231,N,_,0,Y
_,1001047799,314,10009,10002,_,G,1001046521,23,10001,20190626,20190626,90027,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,3426,10009,10002,10082,J,1000737200,55,10001,20001202,20001202,10002,20001,0,_,10001,15097,15249,20150815,N,_,0,N
_,1001027747,2064,10009,10002,_,L,1000737200,50,10001,20130228,20130228,10002,20001,0,_,10001,15097,15249,20190313,N,_,0,N
10000,1001027844,1646,10003,10002,_,_,1000003226,_,10001,20130205,20130205,90056,20001,0,_,10001,15097,15244,20160204,N,N,0,N
_,1001027747,289,10009,10002,_,F,1000737200,58,10001,20030119,20030119,10003,20001,0,_,10001,15097,15249,20180408,N,_,0,N
10000,1001076887,524,10009,10002,_,G,1001076319,51,10001,20110511,20110511,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000781554,2595,10009,10005,_,G,1000767880,61,10001,20111114,20120102,10003,20002,0,_,10038,_,_,99991231,N,_,0,N
10000,1001027836,1996,10007,10002,10026,I,1000003205,42,10005,20170228,20170228,10003,20002,0,_,10002,15097,15244,20200228,N,_,0,N
_,1000711750,2056,10009,10002,_,I,1000767883,47,10001,20160323,20160323,90027,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047801,2126,10009,10002,_,L,1001034677,54,10001,20150508,20150508,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665870,128,10009,10002,_,I,1000001126,32,10001,20181112,20181112,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665328,184,10007,10002,10003,_,1000001126,_,10007,10101,10101,90056,20002,0,_,10002,_,_,99991231,N,_,0,N
10000,1000665470,2053,10009,10002,_,O,1000851875,44,10007,10101,10101,10003,20002,0,_,10007,15097,15244,20230409,N,_,1,N
10000,1000665328,2153,10009,10002,_,I,1001046521,62,10001,20140922,20140922,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665870,463,10009,10002,_,_,1000001126,_,10001,20130107,20130107,90056,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001076886,656,10009,10002,_,J,1001076318,28,10001,20170817,20170817,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001061189,2174,10009,10002,_,G,1001060909,52,10001,20110228,20110228,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000781559,314,10009,10002,_,L,1000767884,49,10001,20171016,20171016,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000781558,184,10007,10002,10021,J,1000767883,48,10001,20141208,20141208,10003,20002,0,_,10005,_,_,99991231,N,_,0,N
_,1000668092,191,10009,10002,_,G,1001060910,44,10001,20200320,20200320,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000753001,2053,10009,10002,_,G,1000702598,42,10005,20200410,20200410,10003,20002,0,_,10001,15097,15244,20230409,N,_,0,N
10000,1001061190,360,10009,10002,_,G,1001060910,73,10001,20091221,20091221,90030,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,-998,2053,10009,10002,_,F,1000003160,77,10007,10101,10101,10003,20002,0,_,10004,_,_,99991231,N,_,0,Y
_,1001027746,329,10009,10002,_,I,1000702598,44,10001,20181220,20181220,10003,20001,0,_,10001,15097,15244,20211219,N,_,0,N
_,1000668028,128,10009,10002,_,J,1000767882,57,10001,20170418,20170418,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047822,831,10009,10002,_,G,1001046689,45,10001,20180622,20180622,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028565,155,10009,10002,_,G,1000851873,72,10001,20140314,20140314,10003,20001,0,_,10001,15097,15244,20170313,N,_,0,N
10000,1001028565,329,10009,10002,_,O,1000851873,57,10001,20181211,20190819,10019,20001,0,_,10001,15097,15244,20211210,N,_,0,N
_,1000823896,329,10009,10002,_,G,1000823824,9,10001,20190305,20190305,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028714,289,10009,10002,_,G,1000852226,63,10001,20120928,20120928,10003,20001,0,_,10001,15098,15244,20190906,N,_,0,N
_,1001027747,360,10009,10002,_,L,1000737200,52,10001,20170518,20170518,10002,20001,0,_,10001,15097,15244,20200517,N,_,0,N
_,1000665328,2064,10009,10002,_,_,1000001126,_,10001,20191227,20191227,90056,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,3812,10009,10002,_,I,1000737200,42,10001,20030913,20030913,10003,20001,0,_,10001,15097,15277,20230105,N,_,0,Y
_,1001045303,2153,10009,10002,_,L,1000767883,45,10001,20131014,20131014,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028473,734,10009,10002,10003,G,1000851643,35,10001,20111209,20111209,10003,20001,0,10258,10001,15098,15244,20200516,N,N,0,N
_,1001047801,2153,10009,10002,_,L,1001046523,49,10001,20170724,20170724,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028473,3531,10009,10002,10081,L,1000851643,39,10001,20141107,20141107,10003,20001,0,_,10001,15097,15244,20171106,N,_,0,Y
_,1001066341,128,10009,10002,_,I,1000809257,16,10001,20170109,20170109,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000763389,2064,10009,10002,_,I,1000748648,58,10001,20161203,20161203,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000784644,3614,10009,10002,10009,G,1000784228,73,10001,20150211,20150306,10003,20002,0,_,10001,_,_,99991231,N,_,0,N
_,1000781557,3086,10009,10002,_,J,1000767882,38,10001,20180405,20180405,90027,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027688,466,10009,10002,_,_,1000002356,_,10005,20110215,20110215,90027,20001,0,_,10001,15097,15244,20140214,N,_,0,N
10000,1001027818,3339,10009,10002,10026,L,1000658215,41,10005,20140725,20140725,90029,20001,0,_,10001,15097,15244,20170724,N,_,0,N
_,1001047798,656,10009,10002,_,I,1001046520,76,10005,20180721,20180721,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001044841,190,10009,10002,_,_,1001044103,53,10006,20180324,20180324,90029,20001,0,_,10001,15097,15244,20210323,N,_,0,N
10000,1001027747,656,10009,10002,_,G,1000737200,55,10007,10101,10101,10002,20001,0,_,10001,15097,15244,20230412,N,_,0,N
_,1001060659,2056,10009,10002,_,I,1001059435,19,10003,20140429,20140429,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10006,-998,1519,10003,10002,_,_,1000001126,_,10001,20170627,20170627,90027,20001,0,10239,10037,_,_,99991231,_,N,0,N
10000,1001061189,2064,10009,10002,_,G,1001060909,76,10001,20191112,20191112,90030,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000666349,638,10009,10002,_,_,1000002469,_,10001,20180913,20180913,90027,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027688,379,10009,10002,_,I,1000002356,66,10001,20011117,20011117,90029,20001,0,10270,10001,15097,15249,20170926,N,N,0,N
10000,1000665328,1646,10003,10002,_,_,1000001126,_,10001,20020314,20020314,90056,20001,0,10231,10004,_,_,99991231,N,N,0,N
10000,1000781558,2174,10009,10002,_,I,1000767883,37,10001,20160416,20160416,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,1068,10009,10005,_,L,1001046523,38,10001,20190608,20190608,10003,20001,0,_,10038,_,_,99991231,N,_,0,N
_,1000665328,2064,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,1631,10003,10002,_,L,1000737200,57,10001,20190214,20190214,10003,20001,0,10231,10001,15097,15244,20200213,N,Y,0,N
10000,1001027710,3321,10009,10002,10026,I,1000002530,53,10005,20140407,20140407,10003,20001,0,_,10001,15097,15244,20170406,N,_,0,N
10000,1001047801,314,10009,10002,_,L,1001046523,43,10001,20170317,20170317,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028565,1575,10003,10002,_,G,1000851873,60,10001,20150903,20150903,90029,20001,0,10231,10001,15097,15244,20180902,N,N,0,N
10000,1001054232,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001054977,3086,10009,10002,_,G,1001054338,24,10001,20141128,20141128,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027668,377,10009,10002,_,L,1001046523,37,10001,20140304,20140304,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,288,10009,10002,_,G,1000737200,56,10001,20000701,20191210,10002,20001,0,_,10001,15097,15249,20190114,N,_,0,Y
_,1000665328,294,10009,10002,_,F,1000001126,85,10001,19870428,19870428,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,2153,10009,10002,_,L,1001046523,33,10001,20150122,20150122,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,329,10009,10002,_,G,1001046523,27,10001,20200401,20200401,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000667837,2064,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028577,378,10007,10002,_,G,1000851885,_,10005,20160217,20160217,90029,20002,0,_,10002,15097,15244,20190216,N,_,0,N
10000,-998,1519,10003,10002,_,J,1000720809,60,10001,20120630,20120630,90029,20001,0,10237,10007,15097,15244,20150629,_,N,0,N
_,1000781557,2064,10009,10002,_,L,1000767882,43,10001,20121227,20121227,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000666005,128,10009,10002,_,J,1000001126,64,10001,19950518,19950518,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047801,1043,10009,10002,_,L,1001046523,43,10001,20111128,20111128,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000779081,2126,10009,10002,_,G,1000809257,11,10001,20180301,20180301,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665328,1646,10003,10002,_,I,1000001126,43,10001,19970312,19970312,90029,20001,0,10242,10001,_,_,99991231,N,N,0,N
_,1001028565,3210,10009,10002,10026,G,1000851873,26,10005,20151124,20151124,10003,20001,0,_,10001,15097,15244,20181123,N,_,0,N
10000,1001044841,329,10009,10002,_,L,1001044103,64,10001,20200204,20200204,10002,20001,0,_,10001,15097,15244,20230203,N,_,0,N
10000,1001027819,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,289,10009,10002,_,L,1000737200,31,10001,20181020,20181020,10003,20001,0,_,10001,15097,15244,20211019,N,_,0,N
10000,1001061190,192,10009,10002,_,L,1001060910,47,10001,20100909,20141204,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000787867,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665470,2053,10009,10002,_,G,1001078031,63,10007,10101,10101,10002,20002,0,_,10001,15097,15244,20230409,N,_,0,Y
10000,1000779251,3614,10009,10002,10010,L,1001046520,52,10001,20141229,20141229,10019,20002,0,_,10003,_,_,99991231,N,_,0,N
10000,1001044841,2153,10009,10002,_,L,1000737200,45,10001,20161026,20180614,10003,20001,0,_,10001,15097,15244,20191025,N,_,0,N
10000,1001027540,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,2123,10009,10002,_,L,1001046523,37,10001,20190102,20190102,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047798,656,10009,10002,_,G,1001046520,60,10001,20200122,20200122,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,2153,10009,10002,_,J,1000737200,45,10001,20151013,20180515,90029,20001,0,_,10001,15097,15249,20211129,N,_,0,N
10000,1000665328,1649,10003,10002,_,G,1000001126,78,10001,19921021,19921021,10003,20001,0,_,10002,_,_,99991231,N,N,0,N
_,1001028565,2153,10009,10002,_,J,1000851873,59,10001,20151128,20151128,10003,20001,0,_,10001,15098,15244,20211219,N,_,0,N
10000,1001027747,1560,10009,10002,_,G,1000737200,82,10001,20051228,20051228,10003,20001,0,10269,10001,15097,15249,20130728,N,N,0,N
_,1001027747,2106,10009,10002,10082,I,1000737200,62,10001,20170414,20170414,10002,20001,1,_,10001,15097,15244,20200416,N,_,0,N
_,1001027746,381,10009,10002,_,J,1000702598,48,10001,20160423,20160423,10002,20001,0,_,10001,15097,15244,20190422,N,_,0,N
10000,1001047799,2126,10009,10002,_,J,1001046523,55,10001,20150325,20151012,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001061189,656,10009,10002,_,_,1001060909,_,10001,20200326,20200326,90027,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000665328,2064,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,155,10007,10002,_,_,-998,_,_,10101,10101,_,20002,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,2153,10009,10002,_,O,1001060911,59,10005,20190910,20190910,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027746,379,10009,10002,_,L,1000702598,30,10001,20190730,20190730,10003,20001,0,10270,10001,15097,15244,20220729,N,N,0,N
_,1001047798,193,10009,10002,_,L,1001046520,38,10001,20130402,20161125,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000787867,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001061189,360,10009,10002,_,J,1001060909,64,10001,20190131,20190131,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665328,2153,10009,10002,_,F,1000001126,72,10001,19890304,19890304,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027859,2153,10009,10002,_,I,1000003261,49,10001,20090318,20090318,10002,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000781558,2153,10009,10002,_,J,1000767883,44,10001,20160220,20160220,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000665328,656,10009,10002,_,_,1000001126,_,10007,10101,10101,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,312,10009,10002,_,L,1000737200,26,10001,20160303,20160303,10003,20001,0,_,10001,15097,15244,20190304,N,_,0,N
10000,1000781558,3614,10009,10002,10010,J,1000767883,47,10001,20160416,20160416,10003,20002,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027746,2538,10003,10002,_,G,1000702598,21,10001,20200211,20200211,10002,20001,0,10249,10004,15097,15244,20230210,N,N,0,N
_,1000787867,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028679,2153,10009,10002,_,L,1000002571,55,10001,20180608,20180608,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001074280,2153,10009,10002,_,J,1000002571,27,10001,20130611,20130611,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10001,1001047801,360,10009,10002,_,L,1001046523,44,10001,20160225,20160225,10003,20001,0,_,10013,_,_,99991231,N,_,0,N
_,1000792727,2178,10009,10003,_,_,-998,_,_,10101,10101,_,20002,0,_,10038,_,_,99991231,N,_,0,N
10000,1001027746,1636,10003,10002,_,O,1000702598,73,10001,20170904,20170904,10003,20001,1,10232,10002,15097,15244,20200903,N,N,0,N
_,1001047801,329,10009,10002,_,L,1001046523,64,10001,20180723,20180723,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,360,10009,10002,_,L,1001046523,51,10001,20121031,20121031,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027819,1636,10003,10002,_,I,1000720809,_,10001,20170225,20170225,10019,20001,0,10268,10006,15097,15244,20200224,N,N,0,N
_,1001027746,2066,10009,10005,_,F,1000702598,56,10001,20131212,20131212,10002,20001,0,_,10038,15097,15244,20161212,N,_,0,N
_,1001047798,656,10009,10002,_,I,1001046520,29,10001,20190412,20190412,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028565,343,10009,10002,10021,L,1000851873,54,10001,20100220,20181210,10002,20001,0,_,10001,15098,15244,20210419,N,_,0,N
10000,1001047801,2126,10009,10002,_,L,1001034677,52,10001,20090428,20090428,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000665328,3697,10009,10002,10026,F,1000001126,68,10005,20140813,20140813,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000665328,2153,10009,10002,_,I,1000001126,44,10001,20081218,20081218,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000666395,2074,10009,10002,_,_,1000002469,_,10002,20161010,20161010,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,2153,10009,10002,_,J,1001046520,45,10001,20171222,20171222,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665884,128,10009,10002,_,F,1000001126,49,10001,20170303,20170303,10019,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,289,10009,10002,_,J,1000737200,49,10001,20200314,20200314,90029,20001,0,_,10001,15097,15244,20230313,N,_,0,N
_,1001033344,2730,10009,10002,_,I,1001033311,51,10001,20190627,20190627,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000787867,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000787867,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000781558,2174,10009,10002,_,L,1000767883,34,10001,20170107,20170107,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,329,10009,10002,_,J,1000737200,58,10001,20011206,20011206,10002,20001,0,_,10001,15097,15249,20211217,N,_,0,N
10000,1001027747,155,10009,10002,_,L,1000737200,39,10001,20200121,20200121,10002,20001,0,_,10001,15097,15244,20230120,N,_,0,N
10000,1001047801,359,10009,10002,_,L,1001046523,33,10001,20131230,20131230,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001044841,2064,10009,10002,_,_,1000001126,_,10001,20180712,20180712,90056,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027819,2153,10009,10002,_,G,1000002571,54,10001,20140916,20140916,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047802,2127,10009,10002,_,L,1001046524,37,10001,20080416,20080416,90027,20001,0,_,10001,_,_,99991231,N,_,0,N
