자치구,동,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10
강서구,등촌3동,184,348,78,354,78,78,54,89,46,80,43,187,11,297,25,75,59,265,28,165
강서구,화곡본동,136,136,54,136,119,119,55,101,48,70,23,70,2,3,43,74,29,119,27,99
강서구,화곡2동,71,71,19,42,82,82,27,41,33,37,10,16,-,-,11,16,31,65,7,11
강서구,화곡3동,71,71,45,150,60,60,44,79,63,102,25,63,2,4,36,92,53,169,30,120
강서구,화곡4동,93,93,56,135,94,94,36,54,62,88,22,62,-,-,37,53,13,45,31,91
강서구,화곡6동,80,678,102,312,78,101,53,86,40,66,27,74,2,2,109,326,14,44,35,148
강서구,화곡8동,99,99,52,160,87,87,69,103,59,85,17,65,1,1,27,44,17,66,23,72
강서구,가양1동,131,423,235,898,77,85,230,569,86,243,154,643,22,87,114,327,16,30,134,655
강서구,가양2동,40,40,19,58,44,44,18,34,17,44,5,18,2,3,5,7,-,-,8,23
강서구,가양3동,113,113,15,44,69,69,12,18,16,34,8,31,4,37,1,1,7,17,-,-
강서구,발산1동,174,810,85,305,133,133,109,221,56,114,57,260,9,70,21,42,104,342,17,55
강서구,공항동,100,336,73,253,95,100,57,88,45,59,28,112,1,2,56,101,15,44,46,152
강서구,방화1동,262,262,77,244,148,148,91,127,92,158,38,124,3,10,32,63,66,310,37,111
강서구,방화2동,"1,358","1,607",80,304,90,90,53,79,48,78,36,158,3,7,53,77,12,30,22,91
강서구,방화3동,182,508,20,61,75,75,27,46,30,41,16,40,1,3,8,16,8,16,12,37
강서구,화곡1동,213,213,114,408,172,175,118,211,88,138,47,169,3,26,128,234,22,68,58,198
강서구,우장산동,140,140,43,155,89,89,84,129,76,132,27,85,1,2,21,32,100,321,17,52
구로구,소계,"2,757","3,817","1,048","3,215","1,318","1,351",789,"1,213",729,"1,134",421,"1,384",114,923,576,"1,165",336,"1,111",428,"1,496"
구로구,신도림동,73,73,80,339,74,77,62,112,46,112,36,196,2,34,12,45,53,222,26,121
구로구,구로1동,86,86,16,44,63,66,27,51,19,47,6,26,1,8,14,29,19,64,4,11
구로구,구로3동,55,55,186,834,50,50,128,253,56,143,109,457,65,781,69,251,15,42,69,332
구로구,구로4동,56,56,75,163,75,77,66,92,69,85,18,40,2,2,90,150,22,68,40,138
구로구,구로5동,"1,238","1,451",115,296,62,65,84,109,41,81,45,141,7,10,56,128,25,52,66,235
구로구,고척1동,123,282,68,242,82,82,27,38,41,59,26,77,3,6,29,52,19,56,33,115
구로구,고척2동,133,133,49,138,91,91,44,61,55,63,18,34,2,3,26,46,32,115,15,39
구로구,개봉2동,163,163,28,81,100,100,46,73,56,96,23,53,1,6,29,63,42,158,15,48
구로구,개봉3동,100,100,29,61,103,103,36,52,47,52,19,29,1,2,22,33,27,77,16,35
구로구,오류1동,89,89,53,133,60,60,33,50,38,54,11,50,3,3,29,59,9,36,9,26
구로구,오류2동,220,456,43,115,173,173,48,66,48,78,23,59,2,2,10,20,34,128,24,99
구로구,수궁동,144,455,36,73,114,121,32,46,30,35,20,30,4,12,12,20,11,44,17,49
구로구,가리봉동,24,24,47,87,38,38,22,31,35,43,3,9,-,-,53,75,1,1,16,41
구로구,구로2동,114,114,159,455,105,120,86,121,79,98,37,106,17,48,83,123,8,13,42,106
구로구,개봉1동,139,280,64,154,128,128,48,58,69,88,27,77,4,6,42,71,19,35,36,101
금천구,소계,"1,100","2,598",867,"2,619",935,997,671,"1,381",488,715,383,"1,215",200,"2,575",391,685,153,487,300,"1,042"
금천구,가산동,71,71,300,"1,186",82,102,271,736,51,130,220,791,150,"2,415",71,155,4,18,100,375
금천구,독산1동,179,"1,248",136,386,128,146,89,186,64,121,41,110,25,107,55,98,20,67,32,175
금천구,독산2동,107,226,48,126,73,73,29,45,52,57,14,19,2,9,25,43,10,34,21,58
금천구,독산3동,95,180,84,184,124,131,65,102,74,91,21,52,2,6,56,75,8,39,24,60
금천구,독산4동,59,59,40,91,56,58,28,39,36,44,14,35,1,1,43,81,7,16,28,81
금천구,시흥1동,137,137,135,387,122,122,86,125,87,137,39,127,9,21,82,137,46,147,65,209
금천구,시흥2동,131,131,4,8,93,93,23,39,19,21,9,21,2,2,4,9,28,89,1,2
금천구,시흥3동,88,313,55,121,59,73,27,36,15,19,6,14,6,11,13,21,6,9,6,16
금천구,시흥4동,142,142,20,38,98,99,24,34,38,39,4,5,2,2,14,20,10,29,9,23
금천구,시흥5동,91,91,45,92,100,100,29,39,52,56,15,41,1,1,28,46,14,39,14,43
영등포구,소계,"1,349","2,397","1,738","6,476","1,281","1,429",986,"1,566",673,"1,261",838,"3,295",76,"1,220",636,"1,489",288,"1,082",494,"2,151"
영등포구,여의도동,10,10,466,"2,391",25,31,122,254,47,186,250,"1,325",19,697,102,320,45,203,91,608
영등포구,당산1동,32,32,130,352,38,95,67,90,55,87,65,155,5,5,78,122,6,17,49,141
영등포구,당산2동,50,225,96,396,50,50,89,143,39,115,70,215,6,33,29,91,35,134,32,146
영등포구,양평1동,40,230,96,304,530,585,46,77,24,51,37,97,5,18,28,48,9,34,17,57
영등포구,양평2동,75,486,83,298,47,57,53,88,27,33,57,206,8,27,22,59,22,60,30,142
영등포구,신길1동,47,47,39,104,46,46,41,54,42,58,21,59,-,-,23,44,9,29,20,58
영등포구,신길3동,543,543,34,79,44,44,37,54,36,38,13,42,1,2,12,20,7,34,14,42
영등포구,신길4동,57,57,19,42,34,36,18,26,18,19,8,11,-,-,6,14,13,29,-,-
영등포구,신길5동,29,29,21,56,33,33,20,36,14,17,7,28,-,-,10,20,4,22,3,20
영등포구,신길6동,67,67,50,130,47,53,74,106,39,64,29,72,1,1,12,26,30,131,29,102
영등포구,신길7동,31,31,22,69,21,21,39,64,18,31,19,51,2,10,10,13,7,15,6,18
영등포구,대림1동,43,43,53,151,34,34,34,49,37,40,13,37,1,1,18,32,6,21,11,26
영등포구,대림2동,31,31,36,81,32,32,45,65,62,75,13,27,2,7,42,91,4,17,17,36
영등포구,대림3동,104,104,73,215,100,105,58,76,51,68,23,55,4,35,52,81,16,78,20,68
영등포구,영등포본동,60,60,49,164,63,63,40,54,28,52,29,155,-,-,25,43,19,60,27,143
영등포구,영등포동,12,12,265,916,17,17,104,170,58,187,98,479,10,37,90,264,16,44,78,334
영등포구,도림동,65,217,34,103,71,71,33,47,36,47,15,41,2,11,22,31,17,76,10,30
영등포구,문래동,53,173,172,625,49,56,66,113,42,93,71,240,10,336,55,170,23,78,40,180
동작구,소계,"1,033","1,115",765,"2,322",830,844,883,"1,483",651,"1,105",486,"1,628",20,199,439,955,407,"1,463",331,"1,177"
동작구,노량진2동,16,16,47,100,30,30,39,47,26,35,31,76,-,-,23,39,19,277,14,39
동작구,상도1동,121,121,67,246,77,78,86,138,61,123,63,175,4,37,45,110,33,123,35,120
동작구,상도2동,52,52,50,153,50,53,94,142,48,96,22,95,6,15,22,41,31,127,16,67
동작구,상도3동,102,102,34,105,84,84,42,76,52,74,19,57,-,-,16,32,6,13,13,47
동작구,상도4동,125,125,28,85,101,101,34,43,41,48,24,51,-,-,23,42,21,52,19,60
동작구,사당1동,53,53,98,282,56,56,79,176,47,94,48,155,2,25,65,164,13,51,32,121
동작구,사당3동,68,68,31,84,44,44,45,60,32,51,20,57,-,-,7,8,26,82,17,59
동작구,사당4동,64,64,17,44,40,44,23,43,31,41,9,18,1,84,10,15,11,22,4,15
동작구,사당5동,54,54,13,33,34,34,24,35,25,31,16,33,2,12,3,4,14,21,7,18
동작구,대방동,93,175,34,97,72,72,69,118,40,81,29,120,1,6,29,54,96,380,34,132
동작구,신대방1동,41,41,33,101,41,41,44,55,46,58,16,46,1,1,18,29,29,62,16,47
동작구,신대방2동,43,43,71,248,37,37,54,179,37,47,33,163,1,11,13,25,14,33,17,51
동작구,흑석동,63,63,76,240,49,51,114,159,61,109,42,154,1,1,57,116,33,52,40,144
동작구,노량진1동,76,76,92,285,67,69,71,98,52,98,84,324,-,-,38,88,35,109,28,100
동작구,사당2동,62,62,74,219,48,50,65,114,52,119,30,104,1,7,70,188,26,59,39,157
관악구,소계,"1,286","2,027","1,226","3,689","1,579","1,600","1,010","2,136",895,"1,604",581,"2,049",31,190,658,"1,672",354,"1,230",422,"1,628"
관악구,보라매동,58,58,63,208,61,61,41,64,52,79,33,106,6,14,20,42,15,45,18,51
관악구,청림동,29,29,7,13,46,46,24,40,22,33,13,25,-,-,6,11,34,60,6,14
관악구,행운동,46,46,57,169,18,18,73,169,67,130,37,113,-,-,24,45,26,106,22,67
관악구,낙성대동,21,246,84,434,19,19,37,100,30,104,66,203,2,33,75,224,5,10,42,189
관악구,중앙동,38,38,62,188,34,34,51,114,35,70,20,81,1,13,25,46,15,123,18,70
관악구,인헌동,42,42,54,139,56,56,46,90,40,55,27,94,-,-,21,34,17,61,19,46
관악구,남현동,28,28,41,124,27,27,26,45,29,40,25,113,3,59,43,138,11,22,23,117
관악구,서원동,38,38,113,296,59,59,34,90,32,127,36,194,1,3,90,386,8,30,28,185
관악구,신원동,13,13,51,111,35,35,35,63,36,48,11,26,-,-,21,32,9,25,12,30
관악구,서림동,293,584,51,138,43,43,34,54,27,35,25,51,-,-,12,16,15,49,13,47
관악구,신사동,28,28,55,137,49,49,75,171,68,88,20,68,6,28,22,35,17,62,17,49
관악구,신림동,13,13,77,290,22,22,101,311,58,178,45,190,1,1,85,224,2,10,64,282
관악구,난향동,42,42,5,11,38,38,15,20,14,18,5,15,-,-,2,4,13,35,3,10
관악구,조원동,32,32,80,225,494,500,61,153,47,69,35,127,3,20,51,124,6,16,31,142
관악구,대학동,42,42,110,321,46,58,45,78,46,95,68,253,1,1,48,105,9,26,26,81
관악구,은천동,87,312,87,267,83,83,66,128,50,64,22,66,2,2,19,34,30,86,28,96
관악구,성현동,92,92,19,51,68,68,38,65,35,47,12,19,2,2,5,10,47,165,3,7
관악구,청룡동,32,32,85,255,52,52,104,233,72,156,45,194,1,2,42,94,17,116,22,68
관악구,난곡동,98,98,29,54,130,133,26,30,49,60,9,34,-,-,11,11,16,62,6,19
관악구,삼성동,111,111,47,88,97,97,36,54,30,37,6,12,-,-,15,21,11,28,5,10
관악구,미성동,103,103,49,170,102,102,42,64,56,71,21,65,2,12,21,36,31,93,16,48
서초구,소계,417,903,"1,564","6,712",386,411,"1,457","2,758",676,"1,832","1,012","3,897",157,"1,563",446,"1,255",812,"3,812",445,"2,338"
서초구,서초1동,11,11,116,508,8,8,83,145,46,75,89,298,6,21,16,41,20,264,19,89
서초구,서초2동,6,6,138,664,16,16,151,262,45,163,95,388,24,255,19,53,50,520,33,267
서초구,서초3동,20,20,268,"1,212",25,25,181,350,55,144,162,561,27,574,89,255,73,373,78,473
서초구,서초4동,4,4,101,488,3,3,114,211,47,302,72,477,3,79,50,265,56,192,28,199
서초구,잠원동,14,14,83,355,23,23,101,312,32,68,46,163,6,83,36,77,47,139,44,164
서초구,반포본동,3,3,14,39,1,1,32,34,22,29,13,46,2,2,11,16,101,316,4,10
서초구,반포1동,12,12,62,207,16,16,105,264,48,149,48,147,5,9,30,74,19,78,15,46
서초구,반포2동,2,2,3,31,3,3,31,73,16,63,5,12,-,-,-,-,17,69,-,-
서초구,반포3동,-,-,31,134,1,1,81,125,20,47,12,50,1,1,2,3,104,424,3,17
서초구,반포4동,11,11,96,690,8,8,30,76,32,204,72,427,13,86,17,44,114,754,20,141
서초구,방배본동,9,9,59,211,17,18,49,86,48,68,36,110,12,32,29,65,44,137,21,64
서초구,방배1동,26,26,68,201,26,26,60,76,47,130,37,125,9,58,17,57,26,136,18,62
서초구,방배2동,48,48,88,426,29,32,78,118,36,64,31,116,6,10,30,91,20,37,30,156
서초구,방배3동,37,167,23,85,27,29,43,78,26,33,20,60,1,4,2,3,16,38,3,14
서초구,방배4동,22,22,69,212,20,36,113,192,55,94,45,166,5,46,11,18,38,134,12,60
서초구,양재1동,93,199,122,509,77,78,76,145,56,123,114,395,14,228,43,112,36,96,50,271
서초구,양재2동,60,203,197,619,50,52,97,155,38,59,94,294,22,74,43,78,22,78,59,245
서초구,내곡동,39,146,26,121,36,36,32,56,7,17,21,62,1,1,1,3,9,27,8,60
강남구,소계,"1,796","2,517","2,415","11,486",445,487,"2,337","6,508","1,241","6,255","1,624","7,273",384,"8,320",713,"2,528","1,426","9,020",827,"5,008"
강남구,신사동,11,11,144,746,14,14,62,270,99,392,134,684,31,112,64,222,70,300,67,354
강남구,논현1동,17,18,172,724,29,29,149,801,110,383,105,433,22,575,86,298,4,20,92,483
강남구,논현2동,11,11,189,823,17,45,103,581,69,314,144,577,38,451,66,217,13,48,102,715
강남구,삼성1동,15,15,157,"1,014",13,15,88,151,30,151,96,550,26,"1,869",30,106,12,67,45,347
강남구,삼성2동,16,16,90,493,15,15,177,489,59,178,78,287,13,383,36,125,39,140,30,177
강남구,대치1동,4,4,24,95,-,-,88,130,30,120,18,131,-,-,2,5,229,"1,732",5,11
강남구,대치4동,15,15,157,739,11,13,150,339,78,244,110,416,16,188,38,126,440,"2,215",48,281
강남구,역삼1동,19,19,593,"2,827",33,37,469,"1,541",171,682,363,"1,764",76,422,151,614,50,888,183,"1,008"
강남구,역삼2동,22,22,128,471,21,21,198,531,36,59,101,334,17,185,14,38,28,183,23,144
강남구,도곡1동,12,12,45,277,21,21,68,115,34,66,43,153,7,298,8,13,21,55,15,75
강남구,도곡2동,6,125,48,223,-,-,71,126,24,86,46,163,11,181,20,64,30,161,20,157
강남구,개포1동,18,18,5,11,13,13,20,33,5,5,4,6,-,-,-,-,2,8,-,-
강남구,개포4동,41,41,56,177,40,40,49,81,32,54,20,68,17,85,10,14,14,48,14,42
강남구,일원본동,29,29,13,98,11,11,40,55,25,43,12,63,-,-,3,5,34,65,2,9
강남구,일원1동,"1,246","1,246",50,166,48,49,26,45,26,41,21,66,-,-,18,43,18,115,15,50
강남구,일원2동,48,48,20,42,8,8,30,46,10,16,11,35,1,1,-,-,9,22,-,-
강남구,수서동,55,272,54,276,25,30,45,76,20,41,28,164,7,521,7,17,1,1,19,76
강남구,세곡동,149,531,49,154,87,87,62,95,25,45,33,94,1,46,7,11,35,135,17,67
강남구,압구정동,6,8,144,758,2,2,80,196,130,"1,048",92,475,32,476,76,253,74,474,51,399
강남구,청담동,8,8,106,585,7,7,133,301,148,"2,147",66,337,44,"1,485",47,277,32,163,46,460
강남구,대치2동,23,23,142,720,12,12,120,319,54,104,90,451,23,"1,039",21,62,238,"2,118",24,120
강남구,개포2동,25,25,29,67,18,18,109,187,26,36,9,22,2,3,9,18,33,62,9,33
송파구,소계,"2,638","4,850","1,575","5,760","1,910","1,931","1,677","3,190","1,137","2,328",975,"3,372",147,"2,830",628,"1,469",876,"4,160",639,"2,781"
송파구,풍납1동,66,185,34,67,59,59,24,33,27,35,9,16,1,63,11,20,8,20,11,30
송파구,풍납2동,111,337,26,66,50,50,47,65,28,45,25,61,2,2,9,16,26,72,17,62
송파구,거여1동,85,85,25,72,62,62,25,39,30,41,15,34,1,2,15,27,9,39,13,36
송파구,거여2동,111,111,31,106,69,69,35,61,26,30,12,44,-,-,9,13,22,69,6,28
송파구,마천1동,123,236,43,73,126,130,51,71,33,42,13,21,-,-,26,47,10,31,10,16
송파구,마천2동,148,446,53,116,112,112,32,41,46,55,11,23,4,29,17,31,12,36,11,32
송파구,방이1동,42,200,61,175,27,27,36,58,41,57,44,149,5,384,15,30,125,863,28,178
송파구,방이2동,88,169,113,441,69,71,90,227,46,76,50,218,15,38,96,270,23,313,100,528
송파구,오륜동,3,3,12,42,2,2,21,47,12,33,11,75,-,-,2,7,7,42,-,-
송파구,오금동,172,172,81,332,127,128,72,107,59,83,57,126,11,43,30,46,95,353,23,88
송파구,송파1동,74,74,63,185,42,42,63,146,65,112,84,259,3,11,41,101,33,117,28,145
송파구,송파2동,35,35,18,43,19,19,45,68,36,67,13,17,1,4,6,10,40,112,8,21
송파구,석촌동,107,107,99,326,78,84,123,270,87,180,54,203,6,40,50,86,34,207,52,185
송파구,삼전동,109,362,60,253,88,88,80,146,76,138,48,130,6,19,29,49,78,367,40,134
송파구,가락본동,79,79,148,553,44,44,80,138,54,89,71,236,13,783,59,118,24,70,62,260
송파구,가락1동,9,9,39,164,7,7,67,125,13,57,8,23,-,-,9,14,4,8,1,2
송파구,가락2동,85,85,49,184,70,70,74,105,70,133,36,85,4,396,16,40,58,241,27,95
송파구,문정1동,51,51,52,152,40,46,71,110,48,73,32,101,4,159,6,9,26,132,16,45
송파구,문정2동,783,783,184,751,15,17,191,464,51,183,145,481,46,305,24,62,15,25,56,237
송파구,장지동,153,"1,117",35,104,117,117,53,95,42,69,30,81,-,-,21,44,32,90,14,56
송파구,위례동,35,35,23,78,32,32,48,73,26,56,22,69,-,-,2,9,18,51,10,33
송파구,잠실본동,60,60,163,572,44,44,101,208,96,247,48,216,13,36,126,374,45,328,93,444
송파구,잠실4동,28,28,1,3,13,13,45,82,15,71,8,26,2,3,-,-,21,107,1,2
송파구,잠실6동,13,13,108,623,565,565,38,77,36,134,72,445,6,505,6,31,28,98,6,79
송파구,잠실7동,3,3,2,3,3,3,15,29,9,10,5,16,-,-,-,-,4,10,-,-
송파구,잠실2동,29,29,19,62,10,10,62,149,31,95,12,32,1,2,1,5,46,240,-,-
송파구,잠실3동,36,36,33,214,20,20,88,156,34,117,40,185,3,6,2,10,33,119,6,45
강동구,소계,"3,295","4,980","1,101","3,388","1,528","1,566","1,188","1,990",900,"1,429",546,"1,660",59,"1,433",589,"1,349",620,"2,104",428,"1,459"
강동구,강일동,183,543,20,85,121,124,29,48,23,35,12,63,1,3,1,2,37,109,6,19
강동구,상일동,99,99,41,112,95,95,62,110,14,16,15,38,-,-,14,30,14,34,20,52
강동구,명일1동,119,119,56,167,61,65,59,88,74,145,45,125,2,32,36,85,51,259,27,90
강동구,명일2동,2,2,27,120,11,11,37,60,29,71,22,100,4,10,4,11,159,610,13,45
강동구,고덕1동,102,102,21,53,52,62,59,94,26,40,15,32,-,-,12,20,23,51,6,19
강동구,고덕2동,52,52,36,90,59,59,141,280,19,35,8,26,-,-,7,11,3,8,3,12
강동구,암사2동,106,369,31,106,59,59,38,52,27,58,15,36,1,5,10,23,28,83,14,54
강동구,암사3동,73,73,9,23,40,40,24,42,24,42,11,47,-,-,4,7,38,148,4,11
강동구,천호1동,185,293,55,160,132,132,51,70,68,84,22,58,2,5,26,43,24,110,19,66
강동구,천호3동,137,278,71,203,84,84,78,125,59,107,32,123,6,70,56,148,11,43,27,83
강동구,성내1동,105,105,85,283,54,60,48,74,31,34,58,194,8,282,29,65,23,86,18,62
강동구,성내2동,88,273,76,207,84,84,87,144,75,99,40,101,2,3,48,102,14,29,30,114
강동구,성내3동,120,120,135,390,73,73,104,163,83,113,54,133,10,86,57,103,66,199,44,164
강동구,둔촌2동,117,436,63,249,89,89,61,108,62,75,34,85,10,788,21,39,35,90,24,101
강동구,암사1동,209,372,71,195,153,153,67,107,82,114,29,59,3,6,47,98,31,67,34,98
강동구,천호2동,157,187,152,509,144,151,97,188,83,168,63,212,4,17,95,268,24,42,69,245
강동구,길동,"1,441","1,557",152,436,217,225,146,237,121,193,71,228,6,126,122,294,39,136,70,224
